Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base-link,-0.0017387579286636,-0.0004077189669874,-0.00423149762166353,0,0,0,3.90897016895001,0.00474929882036387,6.48685276406767E-07,3.46565638807081E-05,0.00841212491955172,8.88720240656756E-07,0.00873572113177694,0,0,0,0,0,0,package://平步总装（实际）2.1/meshes/base-link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://平步总装（实际）2.1/meshes/base-link.STL,,Body-1,c-bace-link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right-thigh,-0.0912466110829301,-0.00688027058926632,-0.0260769737840176,0,0,0,0.175263377379515,7.91714359652936E-05,-5.8821708212198E-05,-6.00906172954542E-08,0.000660090777115872,-4.08941384825395E-07,0.000732748932480102,0,0,0,0,0,0,package://平步总装（实际）2.1/meshes/right-thigh.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://平步总装（实际）2.1/meshes/right-thigh.STL,,RL-2,c-right-hip,s-right-hip,RT-gear-joint,continuous,-0.000749980442919782,-0.20176222165903,0.0285272436246383,1.5707963267949,0,0,base-link,0,0,-1,,,,,,,,,,,,
right-calf-link rod-1,0.00642974932052855,-0.000437714500819864,-0.0232007106980041,0,0,0,0.159577984538556,5.72573757553679E-05,2.72480556289119E-06,-2.33202065025607E-07,8.37252693104251E-05,9.15223667235833E-09,0.000104459996235148,0,0,0,0,0,0,package://平步总装（实际）2.1/meshes/right-calf-link rod-1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://平步总装（实际）2.1/meshes/right-calf-link rod-1.STL,,Rlr1-2,c-right-hip,s-right-hip,RC-gear-joint,continuous,-0.000749980442919782,-0.20176222165903,0.0285272436246383,1.5707963267949,0,0,base-link,0,0,-1,,,,,,,,,,,,
right-link rod-2,-0.0469845230251527,-0.030927610578554,-0.0210204132576662,0,0,0,0.0182036727715845,7.19221817389986E-06,-9.23990216761432E-06,-1.05545386971062E-17,1.51470924297451E-05,-1.07438535243848E-17,2.12281329125293E-05,0,0,0,0,0,0,package://平步总装（实际）2.1/meshes/right-link rod-2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://平步总装（实际）2.1/meshes/right-link rod-2.STL,,lr2-1,c-right-link rod-1,s-right-link rod-1,r-passive-lr2,continuous,0.0939690364932352,-0.00975224927913865,0.000330468340969725,0,0,0,right-calf-link rod-1,0,0,1,,,,,,,,,,,,
right-link rod-3,-0.0735894108242613,0.0529156073919959,-0.0111250000000002,0,0,0,0.0352549070824253,3.168251255043E-05,3.5996838000379E-05,-7.99900217403612E-20,4.99302600453232E-05,5.94061331944963E-20,8.11209513355873E-05,0,0,0,0,0,0,package://平步总装（实际）2.1/meshes/right-link rod-3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://平步总装（实际）2.1/meshes/right-link rod-3.STL,,lr3-1,c-right-link rod-2,s-right-link rod-2,r-passive-lr3,continuous,-0.093969046050317,-0.0618552211570971,0,0,0,0,right-link rod-2,0,0,1,,,,,,,,,,,,
right-link rod-4,-0.057332949445194,-0.00610334486732256,-0.00724896984759515,0,0,0,0.0194869471958999,1.39532647460517E-06,-2.36783469577937E-06,-1.53729867730417E-17,2.33859728315967E-05,-1.41511922149937E-18,2.36481711506462E-05,0,0,0,0,0,0,package://平步总装（实际）2.1/meshes/right-link rod-4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://平步总装（实际）2.1/meshes/right-link rod-4.STL,,Rlr4-2,c-right-link rod-4,s-right-link rod-4,r-passive-lr4,continuous,-0.137162452686069,0.110428152128973,0.00612499999999963,0,0,0,right-link rod-3,0,0,-1,,,,,,,,,,,,
right-calf-link rod-5,0.120072950857766,-0.0980119476443722,-0.0194816355569132,0,0,0,0.17473212847001,0.000451604204748087,0.000584062644879818,-4.69157331375688E-07,0.000901864552444063,2.88357591021641E-07,0.00134390832045784,0,0,0,0,0,0,package://平步总装（实际）2.1/meshes/right-calf-link rod-5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://平步总装（实际）2.1/meshes/right-calf-link rod-5.STL,,RF-1,c-right-link rod-5,s-right-link rod-5,r-passive-lr5-near knee,continuous,-0.114851056283721,-0.0122264005542749,0,0,0,0,right-link rod-4,0,0,-1,,,,,,,,,,,,
right-wheel,0.000184776210115944,-1.41308050863875E-05,-0.0140361875262824,0,0,0,0.175276699191101,0.000141804072306844,-7.88963188128E-08,1.01007620214665E-07,0.000141163716999817,-2.11882213749285E-08,0.000268759653961648,0,0,0,0,0,0,package://平步总装（实际）2.1/meshes/right-wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://平步总装（实际）2.1/meshes/right-wheel.STL,,RW-1,c-right-wheel,s-right-wheel,right-wheel-joint,continuous,0.252013508969789,-0.186028977987646,0.0204553441982635,0,0,0,right-calf-link rod-5,0,0,-1,,,,,,,,,,,,
left-thigh,-0.0912465932857966,0.00688027057945251,-0.0249415940382138,0,0,0,0.175263373676834,7.91714355151398E-05,5.88217074997979E-05,-6.00908105914261E-08,0.000660090774190374,4.0894128842423E-07,0.000732748929119047,0,0,0,0,0,0,package://平步总装（实际）2.1/meshes/left-thigh.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://平步总装（实际）2.1/meshes/left-thigh.STL,,MirrorRL-3,c-left-hip,s-left-hip,LT-gear-joint,continuous,-0.000749999557083545,0.20062684165903,0.0285272436246384,-1.5707963267949,0,0,base-link,0,0,-1,,,,,,,,,,,,
left-calf-link rod-1,0.0064297684509815,0.000437714502565245,-0.0220653308509622,0,0,0,0.159577984134279,5.72573756562073E-05,-2.72480556289112E-06,-2.33202065055296E-07,8.37252692112647E-05,-9.15223676438547E-09,0.000104459996135054,0,0,0,0,0,0,package://平步总装（实际）2.1/meshes/left-calf-link rod-1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://平步总装（实际）2.1/meshes/left-calf-link rod-1.STL,,MirrorRlr1-3,c-left-hip,s-left-hip,LC-gare-joint,continuous,-0.000749999557083545,0.20062684165903,0.0285272436246384,-1.5707963267949,0,0,base-link,0,0,-1,,,,,,,,,,,,
