Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00110957694439339,-0.000248676924748788,-0.00331210296438389,0,0,0,4.2591013632059,0.00491958790781735,6.53857216788658E-07,3.47483536146155E-05,0.00869665552061893,9.216899111229E-07,0.00899808113247028,0,0,0,0,0,0,package://平步总装（实际）1.8/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://平步总装（实际）1.8/meshes/base_link.STL,,底盘装配v0-1;底盘总装-1/张紧打印件-动-改1.15-3;底盘总装-1/塞打螺栓M6-φ8-20-改1.15-2;底盘总装-1/新侧挂轴固定件-改1.15-3;底盘总装-1/镜向张紧打印件-动-改1.15-3;底盘总装-1/张紧打印件-定-改1.15-2;底盘总装-1/垫片 6-10-1-改1.15-3;底盘总装-1/垫片 6-10-1-改1.15-2;底盘总装-1/垫片 6-10-1-改1.15-1;底盘总装-1/包胶轴承 30-6-6-改1.15-1;底盘总装-1/防松螺母M5-改1.15-6;底盘总装-1/包胶轴承 30-6-6-改1.15-4;底盘总装-1/塞打螺栓M5-φ6-20-改1.15-6;底盘总装-1/垫片 6-10-1-改1.15-17;底盘总装-1/防松螺母M5-改1.15-11;底盘总装-1/包胶轴承 30-6-6-改1.15-17;底盘总装-1/垫片 6-10-1-改1.15-15;底盘总装-1/垫片 6-10-1-改1.15-14;底盘总装-1/塞打螺栓M5-φ6-20-改1.15-11;底盘总装-1/垫片 6-10-1-改1.15-13;底盘总装-1/垫片 6-10-1-改1.15-16;底盘总装-1/包胶轴承 30-6-6-改1.15-18;底盘总装-1/垫片 6-10-1-改1.15-18;底盘总装-1/塞打螺栓M5-φ6-20-改1.15-12;底盘总装-1/包胶轴承 30-6-6-改1.15-16;底盘总装-1/包胶轴承 30-6-6-改1.15-8;底盘总装-1/包胶轴承 30-6-6-改1.15-7;底盘总装-1/垫片 6-10-1-改1.15-9;底盘总装-1/防松螺母M5-改1.15-8;底盘总装-1/防松螺母M5-改1.15-10;底盘总装-1/包胶轴承 30-6-6-改1.15-15;底盘总装-1/塞打螺栓M5-φ6-20-改1.15-8;底盘总装-1/垫片 6-10-1-改1.15-8;底盘总装-1/垫片 6-10-1-改1.15-7;底盘总装-1/髋关节RA6008压紧盖-改1.15-1;底盘总装-1/云台加高-1;云台装配-5/云台支撑板-2;底盘总装-1/镜向张紧打印件-动-改1.15-1;底盘总装-1/张紧打印件-定-改1.15-3;底盘总装-1/新侧挂轴固定件-改1.15-4;底盘总装-1/塞打螺栓M6-φ8-20-改1.15-1;底盘总装-1/张紧打印件-定-改1.15-4;底盘总装-1/张紧打印件-动-改1.15-1;底盘总装-1/弹仓盖垫高-1;底盘总装-1/6020板垫-1;M8螺母-1;M8螺丝-1;M8螺母-2;M8螺丝-2;底盘总装-1/6020板垫-2;底盘总装-1/云台加高-2;底盘总装-1/髋关节RA6008压紧盖-改1.15-2,c-base-link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_calf-link,0.0341525895705669,0.00363569351093679,0.00141652936127346,0,0,0,0.131394912492738,3.34769171962078E-05,-7.62156946021845E-06,6.44005635320377E-07,0.000104260253118481,6.85572350450412E-08,0.000135064605719726,0,0,0,0,0,0,package://平步总装（实际）1.8/meshes/left_calf-link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://平步总装（实际）1.8/meshes/left_calf-link.STL,,底盘总装-1/新小腿主动连杆-改1.15-4;底盘总装-1/新大腿链轮20T-改6.30-3;底盘总装-1/法兰轴承F698 8-19-6-改1.15-21;底盘总装-1/防松螺母M6-改1.15-12;底盘总装-1/法兰轴承F698 8-19-6-改1.15-22;底盘总装-1/垫片 8-12-0.5-改1.15-8,c-left-hip,a-left-hip,left-calf-joint,continuous,0.000779183760026896,0.180141837549994,0.0282815676508122,-1.5707963267949,0,0,base_link,0,0,-1,,,,,,,,,,,,
left-Link rod-1,-0.0469845230251573,0.0309276105785502,-0.0204718373530218,0,0,0,0.0682128059788388,2.18209172343661E-05,2.49477358527121E-05,5.54368223385282E-20,4.32990777251387E-05,-3.66810381659002E-20,5.75366010960237E-05,0,0,0,0,0,0,package://平步总装（实际）1.8/meshes/left-Link rod-1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://平步总装（实际）1.8/meshes/left-Link rod-1.STL,,底盘总装-1/膝关节一级长连杆-改1.15-4;底盘总装-1/塞打螺栓 M6-φ8-20-改1.15-12;底盘总装-1/塞打螺栓 M6-φ8-20-改1.15-15,c-left-link rod-1,a-left-link rod-1,left-Link rod-1,continuous,0.0939690460503174,0.0100034186353128,0.0202750000000052,0,0,0,left_calf-link,0,0,1,,,,,,,,,,,,
left-Link rod-2,-0.0749477170540701,-0.0546014242915734,-0.0110142355101124,0,0,0,0.150783211241724,8.71453023230527E-05,-9.71914626007369E-05,4.30265461582114E-17,0.0001364142205589,-1.15947335254109E-17,0.00022189505481716,0,0,0,0,0,0,package://平步总装（实际）1.8/meshes/left-Link rod-2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://平步总装（实际）1.8/meshes/left-Link rod-2.STL,,底盘总装-1/膝关节节点连杆-改1.15-4;底盘总装-1/法兰轴承F698 8-19-6-改1.15-23;底盘总装-1/法兰轴承F698 8-19-6-改1.15-30;底盘总装-1/防松螺母M6-改1.15-16;底盘总装-1/法兰轴承F698 8-19-6-改1.15-29;底盘总装-1/垫片 8-12-2-改1.15-2;底盘总装-1/法兰轴承F698 8-19-6-改1.15-26;底盘总装-1/法兰轴承F698 8-19-6-改1.15-25;底盘总装-1/防松螺母M6-改1.15-13;底盘总装-1/防松螺母M6-改1.15-15;底盘总装-1/法兰轴承F698 8-19-6-改1.15-24;底盘总装-1/垫片 8-12-0.5-改1.15-9;底盘总装-1/垫片 8-12-0.5-改1.15-10,c-left-link rod-2,a-left-link rod-2,left-Link rod-2,continuous,-0.0939690460503139,0.0618552211571006,0,0,0,0,left-Link rod-1,0,0,1,,,,,,,,,,,,
left-Link rod-4,-0.0574255281418602,0.00611320027713935,-0.00777192641996444,0,0,0,0.0717624699261372,6.17041411226746E-06,6.39315367863648E-06,-4.50571952478168E-20,6.55451592764754E-05,3.72698810235519E-21,6.4072909736982E-05,0,0,0,0,0,0,package://平步总装（实际）1.8/meshes/left-Link rod-4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://平步总装（实际）1.8/meshes/left-Link rod-4.STL,,底盘总装-1/膝关节二级长连杆-改1.15-4;底盘总装-1/塞打螺栓 M6-φ8-20-改1.15-13;底盘总装-1/塞打螺栓 M6-φ8-20-改1.15-14,c-left-link rod-4,a-left-link rod-4,left-Link rod-4,continuous,-0.137162452686073,-0.110428152128969,0.00612500000000044,0,0,0,left-Link rod-2,0,0,-1,,,,,,,,,,,,
left-Link rod-5,0.103102685209187,0.0854404712238931,-0.0198753929988612,0,0,0,0.285699239134672,0.000615291310851632,-0.000787581905602118,-5.6635714133462E-07,0.00122168207055877,-3.44079200776367E-07,0.00181769886296001,0,0,0,0,0,0,package://平步总装（实际）1.8/meshes/left-Link rod-5.STL,0.223529411764706,0.223529411764706,0.223529411764706,1,0,0,0,0,0,0,package://平步总装（实际）1.8/meshes/left-Link rod-5.STL,,底盘总装-1/镜向小腿-改1.15-1;底盘总装-1/垫片 8-12-1-改1.15-3;底盘总装-1/法兰轴承F698 8-19-6-改1.15-27;底盘总装-1/防松螺母M6-改1.15-14;底盘总装-1/法兰轴承F698 8-19-6-改1.15-28;底盘总装-1/膝关节螺母M27-改1.15-3;底盘总装-1/膝关节锁盖M27-改1.15-3,c-left-link rod-5,a-left-link rod-5,left-Link rod-5,continuous,-0.11485105628372,0.0122264005542786,0,0,0,0,left-Link rod-4,0,0,-1,,,,,,,,,,,,
left-wheel,-8.35169584202801E-06,0.000135326664463808,-0.0104188047507985,0,0,0,0.402227672586562,0.000281270982848133,6.15510226570845E-07,1.99746239146037E-07,0.000282150323752788,3.78905262560146E-07,0.000538806688305668,0,0,0,0,0,0,package://平步总装（实际）1.8/meshes/left-wheel.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://平步总装（实际）1.8/meshes/left-wheel.STL,,底盘总装-1/3508加自制减速箱-1/大太阳齿-4;底盘总装-1/3508加自制减速箱-1/大太阳齿-1;底盘总装-1/3508加自制减速箱-1/4-20销-1;底盘总装-1/3508加自制减速箱-1/减速箱固定-1;底盘总装-1/3508加自制减速箱-1/4-7-2.5轴承-1;底盘总装-1/3508加自制减速箱-1/4-7-2.5轴承-2;底盘总装-1/3508加自制减速箱-1/减速箱压紧盖-1;底盘总装-1/3508加自制减速箱-1/小太阳齿-1;底盘总装-1/3508加自制减速箱-1/7075轮毂铝件-1;底盘总装-1/3508加自制减速箱-1/减速箱主体-2;底盘总装-1/3508加自制减速箱-1/碗组轴承47.8-56.8-6.5-2;底盘总装-1/3508加自制减速箱-1/中心齿-1;底盘总装-1/3508加自制减速箱-1/M3508去阳齿-2;底盘总装-1/3508加自制减速箱-1/大太阳齿-5;底盘总装-1/3508加自制减速箱-1/小太阳齿-5;底盘总装-1/3508加自制减速箱-1/4-7-2.5轴承-10;底盘总装-1/3508加自制减速箱-1/减速箱外圈齿-1;底盘总装-1/3508加自制减速箱-1/小太阳齿-4;底盘总装-1/3508加自制减速箱-1/4-7-2.5轴承-9;底盘总装-1/3508加自制减速箱-1/碗组轴承压紧盖-1;底盘总装-1/3508加自制减速箱-1/轮毂胶皮120mm-1,c-left-wheel,a-left-wheel,left-wheel-joint,continuous,0.252013508969789,0.186028977987639,0.0204553441982633,0,0,0,left-Link rod-5,0,0,-1,,,,,,,,,,,,
left-thigh-link,-0.0545342724849003,0.00414443464985553,-0.0155224628439509,0,0,0,0.64518251248755,0.000281819120521556,8.05225133686249E-05,-8.23263506877064E-08,0.00107747285080033,5.60249640252588E-07,0.00125702088079024,0,0,0,0,0,0,package://平步总装（实际）1.8/meshes/left-thigh-link.STL,0.223529411764706,0.223529411764706,0.223529411764706,1,0,0,0,0,0,0,package://平步总装（实际）1.8/meshes/left-thigh-link.STL,,底盘总装-1/镜向大腿-改1.15-1;底盘总装-1/新髋关节轴承座-改6.30-2;底盘总装-1/碗组轴承42-52-7-改1.15-3;底盘总装-1/防松螺母M5-改1.15-13;底盘总装-1/塞打螺栓M5-φ6-20-改1.15-13;底盘总装-1/塞打螺栓M5-φ6-20-改1.15-14;底盘总装-1/防松螺母M5-改1.15-12;底盘总装-1/改4.28限位块-3;底盘总装-1/膝关节轴承座-改7.1-6;底盘总装-1/膝关节轴承座-改7.1-5;底盘总装-1/碗组轴承32.7-41.8-6-改1.15-5;底盘总装-1/新小腿链轮20T M27-改6.30-2;底盘总装-1/髋关节Ra轴承端盖-2;底盘总装-1/RA6008-改1.15-2;底盘总装-1/塞打螺栓 M6-φ8-20-改1.15-16,c-left-hip,a-left-hip,left-thigh-joint,continuous,0.000779183760026896,0.180141837549994,0.0282815676508122,-1.5707963267949,0,0,base_link,0,0,-1,,,,,,,,,,,,
right_calf-link,0.0341525895705666,-0.0036356935109369,-0.0269271495225878,0,0,0,0.131394912492739,3.34769171961717E-05,7.62156946023607E-06,-6.44005635322997E-07,0.000104260253118517,6.8557235049146E-08,0.000135064605719726,0,0,0,0,0,0,package://平步总装（实际）1.8/meshes/right_calf-link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://平步总装（实际）1.8/meshes/right_calf-link.STL,,底盘总装-1/新小腿主动连杆-改1.15-1;底盘总装-1/防松螺母M6-改1.15-1;底盘总装-1/法兰轴承F698 8-19-6-改1.15-2;底盘总装-1/法兰轴承F698 8-19-6-改1.15-1;底盘总装-1/垫片 8-12-0.5-改1.15-1;底盘总装-1/新大腿链轮20T-改6.30-4,c-right-hip,a-right-hip,right_calf-joint,continuous,0.000779183760026851,-0.209108162449999,0.0282815676508123,1.5707963267949,0,0,base_link,0,0,-1,,,,,,,,,,,,
right-Link rod-1,-0.0469845230251576,-0.0309276105785499,-0.020471837353022,0,0,0,0.0682128059788387,2.18209172343661E-05,-2.49477358527121E-05,-2.09771975384376E-19,4.32990777251387E-05,-1.3587736734424E-19,5.75366010960237E-05,0,0,0,0,0,0,package://平步总装（实际）1.8/meshes/right-Link rod-1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://平步总装（实际）1.8/meshes/right-Link rod-1.STL,,底盘总装-1/膝关节一级长连杆-改1.15-1;底盘总装-1/塞打螺栓 M6-φ8-20-改1.15-1;底盘总装-1/塞打螺栓 M6-φ8-20-改1.15-2,c-right-link rod-1,a-right-link rod-1,right-Link rod-1,continuous,0.0939690460503174,-0.0100034186353132,-0.00747500000000006,0,0,0,right_calf-link,0,0,1,,,,,,,,,,,,
